video_url,video_title,author,comment
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@deepanshushukla303,"what was the meaning of ""front camera"".. i didn't understand"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@obitouchiha5059,@deepanshushukla303 he wanted to say that ki skl dekhi h kbhi apni
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@deepanshushukla303,@obitouchiha5059 OMG!! Awesome
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@gamingwala9815,"Front camera was epic
Pait pakad ke hasa hu"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@YashPatel-fq7wu,Front camera smj ni aya  bta yr
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@ShravanAwala09,Same bhai
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@ram.4658.,@YashPatel-fq7wu matlab ki vo badsurat hai
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@rajnichawla3594,Bored
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@ram.4658.,"@rajnichawla3594  finally kisi to to laga ....

Don't you think the jokes are quite overrated?
 and offensive as well?"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@RISUPANDEY,@YashPatel-fq7wu kudh ko dekhne bol rha tha wo muskaan ko
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@drishitarishi299,"i love your performance am at my work in opera house sydney enjoying your videos. 
lover you from sydney"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@rjyfk67lo97,Apne kabhi front camera khola hai...that was the best line of the act..!!! Incredible
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@harshv_sr,"My name is Harsh and. My JEE  rank was 6L+ . Now I am in IIT indore as security guard. 

Harsh bhai apse Jayda rank thi meri, cheers"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Pvt.badal123,
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Benzene42,Bhai mai bhi aa jau kya
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@German_shepherdOP,"Same but m defence academy m guard
Sath m govt job ki preparation bhi kar reha  cheers"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@gj_kings,Aba
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Sumirevins,Mera 1.5 lakhs thi. TCS main 3.2 lakhs per annum ki job
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@somnathghosh3544,Bhi guard ki naukri iit main kaise lagi mujhe v bataw jara
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@user-hx4sf7xv5d,Meri to 2 lakh rank thi lekin par btech me admission hi nahi karwaya
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@kushagrasrivastava9403,Bhai profile konsii @Sumirevins
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@rsrvlogs21,"Bhai itna maja ata he ki , bas video dekhte rahe or haste rahe but video khatam na ho 
 love you bro"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@jaihind1538,"@Harshgujral 
Good one Harsh. 
Kindly make one such for Hotel Management graduates also ""unki bhi nadee bahee thi in early 2000, commonwealth games, F1 race, IPL etc"" हा हा हा !"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@sanjaywagh1209,Simply AMAZING Harsh Bhai  !!
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@abhinaba_pal,"Probably, the first I loved the way you dealt with that self-approved Flight Attendant"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@gamertennyson4010,Kal physics ka boards hai
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@kushagrachauhan8070,@gamertennyson4010 good luck
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@gamertennyson4010,@kushagrachauhan8070   thanks waise ho gya tha Mein to mind fresh karne keiye dekh rha tha
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@gvenkatshyamsunder6860,Pyar aur Paisa dono nhi hai engineers ke pass :  dil ko chu liya bhai
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Sa_STATUS1508,
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@user-eq1zu7ej5t,Private colleges se kiye ho kya??
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Vivek_Patil754,lagta hai bhai private college se hai
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@gvenkatshyamsunder6860,"Nhi bhai Autonomous university se. 
Aur aap sab iit se ho sayad."
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@ARNABPACHAL-ht9nd,"lag to aisa hi raha hai private college se ho
app nehi to aise nehi bolte"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Tanishkavarshney-lt2cm,AMU se btech krna acha hain
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@harshraithatha4701,"15:52 gajab feeling hoti hai bhaii yeh valii
great video bhai great.. love and respect bhai
 
coz khali love comment kiya to comment ke reply me ""gay"" bol doge aap"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@mddilkash3877,Best line india ke ladkon ki beizzati nhi sahunga
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@hsteop,5:42 Sushant Singh Rajput Top AIEEE with Rank 7
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@shooter2563,
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@naman_zord861,thala for a reason
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@CommentWalla,@shooter2563   WHATS FUNNy IN IT?
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@shooter2563,@CommentWalla  that who didn't pass they also suicide
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@devanshuyadav3745,@shooter2563 damn thats dark
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@deekshabisht3279,In lockdown publish his news without any reason and show land on space wtf
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@i_cant_hear_a_word_you_say,@deekshabisht3279  I liked you English
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@amaharsh,"172 likes on this comment, i'll feed a hungry man."
